title,genre,studio,number_of_episodes,release_date,content_type,viewer_reviews,source
Dusk Maiden of Amnesia,"Horror, Mystery, Romance, Supernatural",Media Factory,12,2012,TV,75,AniList
Kaguya-sama wa Kokurasetai: Tensaitachi no Renai Zunousen OVA,"Comedy, Ecchi, Romance, Slice of Life",Shueisha,1,2021,OVA,75,AniList
D-Frag!,Comedy,Brain's Base,12,2014,TV,73,AniList
PLUTO,"Action, Drama, Mecha, Mystery, Psychological, Sci-Fi",Studio M2,8,2023,ONA,84,AniList
Dead Mount Death Play,"Action, Fantasy, Supernatural, Thriller",GEEKTOYS,12,2023,TV,72,AniList
Aesthetica of a Rogue Hero,"Action, Ecchi, Fantasy",Arms,12,2012,TV,61,AniList
Bungo Stray Dogs: DEAD APPLE,"Action, Comedy, Mystery, Supernatural",bones,1,2018,MOVIE,78,AniList
The Disastrous Life of Saiki K. Season 3,"Comedy, Slice of Life, Supernatural",J.C.STAFF,1,2018,SPECIAL,81,AniList
The Familiar of Zero: Knight of the Twin Moons,"Action, Adventure, Comedy, Ecchi, Fantasy, Romance",J.C.STAFF,12,2007,TV,70,AniList
Kamisama Kiss◎,"Comedy, Fantasy, Romance, Supernatural",TMS Entertainment,12,2015,TV,81,AniList
Chobits,"Comedy, Drama, Ecchi, Romance, Sci-Fi",MADHOUSE,26,2002,TV,71,AniList
The Testament of Sister New Devil BURST,"Action, Ecchi, Fantasy, Romance",Production IMS,10,2015,TV,64,AniList
Snow White with the Red Hair Season 2,"Drama, Fantasy, Romance",bones,12,2016,TV,78,AniList
Koyomimonogatari,"Comedy, Mystery, Supernatural",Shaft,12,2016,ONA,74,AniList
EDENS ZERO,"Action, Adventure, Comedy, Fantasy, Sci-Fi",J.C.STAFF,25,2021,TV,70,AniList
Corpse Party,"Horror, Mystery, Supernatural",Asread,4,2013,OVA,59,AniList
Eureka Seven,"Action, Adventure, Drama, Mecha, Romance, Sci-Fi",bones,50,2005,TV,77,AniList
Welcome to the Ballroom,"Drama, Romance, Sports",Production I.G,24,2017,TV,79,AniList
Tada Never Falls In Love,"Comedy, Romance, Slice of Life",Doga Kobo,13,2018,TV,73,AniList
NANBAKA,"Action, Comedy, Drama",Satelight,13,2016,TV,70,AniList
Amagami SS,"Comedy, Romance, Slice of Life",AIC,25,2010,TV,69,AniList
LAZARUS,"Action, Sci-Fi",Adult Swim,13,2025,TV,71,AniList
Tokyo Godfathers,"Adventure, Comedy, Drama",MADHOUSE,1,2003,MOVIE,81,AniList
Zoku Owarimonogatari,"Drama, Mystery, Supernatural",Shaft,6,2019,OVA,84,AniList
I Can't Understand What My Husband Is Saying,"Comedy, Romance, Slice of Life",Seven,13,2014,TV_SHORT,70,AniList
"So, I Can't Play H!","Comedy, Ecchi, Romance, Supernatural",NBCUniversal Entertainment Japan,12,2012,TV,60,AniList
Bubble,"Romance, Sci-Fi, Sports, Supernatural",WIT STUDIO,1,2022,ONA,71,AniList
Waiting in the Summer,"Comedy, Drama, Romance, Sci-Fi, Slice of Life",J.C.STAFF,12,2012,TV,71,AniList
When Marnie Was There,"Drama, Mystery, Psychological",Studio Ghibli,1,2014,MOVIE,78,AniList
Is It Wrong to Try to Pick Up Girls in a Dungeon? IV Part 2,"Action, Adventure, Comedy, Fantasy, Romance",J.C.STAFF,11,2023,TV,82,AniList
Chaika -The Coffin Princess-,"Action, Adventure, Comedy, Fantasy",bones,12,2014,TV,69,AniList
SPY x FAMILY CODE: White,"Action, Adventure, Comedy, Slice of Life, Supernatural",WIT STUDIO,1,2023,MOVIE,81,AniList
Chained Soldier,"Action, Adventure, Drama, Ecchi, Fantasy, Romance",Seven Arcs,12,2024,TV,67,AniList
Osamake: Romcom Where The Childhood Friend Won't Lose,"Comedy, Romance",Doga Kobo,12,2021,TV,58,AniList
Sweetness & Lightning,Slice of Life,TMS Entertainment,12,2016,TV,74,AniList
Jormungand,"Action, Adventure",NBCUniversal Entertainment Japan,12,2012,TV,75,AniList
Penguindrum,"Drama, Mystery, Psychological, Supernatural",Brain's Base,24,2011,TV,79,AniList
The Strongest Sage with the Weakest Crest,"Action, Adventure, Comedy, Fantasy, Romance, Slice of Life",J.C.STAFF,12,2022,TV,61,AniList
The Great Jahy Will Not Be Defeated!,"Comedy, Fantasy, Slice of Life, Supernatural",SILVER LINK.,20,2021,TV,68,AniList
LOOK BACK,"Drama, Slice of Life",Studio Durian,1,2024,MOVIE,87,AniList
Gintama Season 3,"Action, Comedy, Drama, Sci-Fi",Sunrise,13,2012,TV,89,AniList
BLEACH: Thousand-Year Blood War - The Conflict,"Action, Adventure, Supernatural",PIERROT FILMS,14,2024,TV,86,AniList
The Ice Guy and His Cool Female Colleague,"Comedy, Romance, Slice of Life, Supernatural",Zero-G,12,2023,TV,72,AniList
Just Because!,"Drama, Romance, Slice of Life",PINE JAM,12,2017,TV,70,AniList
Do You Love Your Mom and Her Two-Hit Multi-Target Attacks?,"Action, Adventure, Comedy, Ecchi, Fantasy",J.C.STAFF,12,2019,TV,52,AniList
Uzumaki,"Drama, Horror, Mystery, Psychological, Supernatural",Production I.G,4,2024,TV,55,AniList
Life Lessons with Uramichi Oniisan,"Comedy, Slice of Life",Studio Blanc,13,2021,TV,76,AniList
Shangri-La Frontier Season 2,"Action, Adventure, Comedy, Fantasy, Sci-Fi",C2C,25,2024,TV,82,AniList
Outbreak Company,"Comedy, Fantasy",feel.,12,2013,TV,69,AniList
Higurashi: When They Cry - GOU,"Drama, Horror, Mystery, Psychological, Supernatural, Thriller",Passione,24,2020,TV,69,AniList
Nyaruko: Crawling with Love!,"Comedy, Romance, Sci-Fi",TV Tokyo,12,2012,TV,66,AniList
Kuroko's Basketball: Last Game,"Comedy, Sports",Production I.G,1,2017,MOVIE,79,AniList
"Love, Chunibyo & Other Delusions: Take on Me","Comedy, Drama, Romance, Slice of Life",Kyoto Animation,1,2018,MOVIE,80,AniList
Showa Genroku Rakugo Shinju,Drama,Studio DEEN,13,2016,TV,84,AniList
Yuuna and the Haunted Hot Springs,"Comedy, Ecchi, Romance, Supernatural",Xebec,12,2018,TV,67,AniList
Yu-Gi-Oh!,"Adventure, Fantasy",Studio Gallop,224,2000,TV,72,AniList
Kubo Won't Let Me Be Invisible,"Comedy, Romance, Slice of Life",PINE JAM,12,2023,TV,75,AniList
We Never Learn!: BOKUBEN Season 2,"Comedy, Ecchi, Romance, Slice of Life",Studio Silver,13,2019,TV,72,AniList
Doukyuusei -Classmates-,"Drama, Music, Romance, Slice of Life",Half H.P Studio,1,2016,MOVIE,81,AniList
Ao-chan Can't Study!,"Comedy, Ecchi, Romance",SILVER LINK.,12,2019,TV_SHORT,65,AniList
Girls und Panzer,"Action, Sports",Actas,12,2012,TV,74,AniList
"Sayonara, Zetsubou-Sensei",Comedy,Shaft,12,2007,TV,76,AniList
Gintama Season 5,"Action, Comedy, Drama, Sci-Fi",Bandai Namco Pictures,12,2017,TV,88,AniList
Cowboy Bebop: The Movie - Knockin' on Heaven's Door,"Action, Drama, Mystery, Sci-Fi",bones,1,2001,MOVIE,82,AniList
Farming Life in Another World,"Fantasy, Slice of Life",Zero-G,12,2023,TV,74,AniList
"The Tunnel to Summer, the Exit of Goodbyes","Drama, Romance, Supernatural",CLAP,1,2022,MOVIE,78,AniList
Engage Kiss,"Action, Comedy, Romance, Supernatural",Aniplex,13,2022,TV,66,AniList
