title,genre,studio,number_of_episodes,release_date,content_type,viewer_reviews,source
Rent-a-Girlfriend,"Comedy, Drama, Romance",TMS Entertainment,12,2020-07,Tv,66,AniList
Komi Can’t Communicate,"Comedy, Romance, Slice of Life",OLM,12,2021-10,Tv,77,AniList
JoJo's Bizarre Adventure: Diamond is Unbreakable,"Action, Adventure, Drama, Mystery, Supernatural",David Production,39,2016-04,Tv,84,AniList
High School DxD,"Action, Comedy, Ecchi, Fantasy, Romance",TNK,12,2012-01,Tv,69,AniList
Tokyo Ghoul:re,"Action, Horror, Mystery, Psychological, Supernatural",Studio Pierrot,12,2018-04,Tv,61,AniList
Fruits Basket (2019),"Comedy, Drama, Romance, Slice of Life, Supernatural",TMS Entertainment,25,2019-04,Tv,82,AniList
To Your Eternity,"Adventure, Drama, Fantasy, Psychological, Supernatural",Brain's Base,20,2021-04,Tv,81,AniList
That Time I Got Reincarnated as a Slime Season 2,"Action, Adventure, Comedy, Fantasy",8-bit,12,2021-01,Tv,83,AniList
The God of High School,"Action, Comedy, Supernatural",MAPPA,13,2020-07,Tv,69,AniList
The Quintessential Quintuplets,"Comedy, Drama, Romance, Slice of Life",Tezuka Productions,12,2019-01,Tv,75,AniList
GOBLIN SLAYER,"Action, Adventure, Fantasy",WHITE FOX,12,2018-10,Tv,71,AniList
Durarara!!,"Action, Mystery, Supernatural",Aniplex,24,2010-01,Tv,79,AniList
HAIKYU!! TO THE TOP,"Comedy, Drama, Sports",Production I.G,13,2020-01,Tv,83,AniList
Clannad,"Comedy, Drama, Romance, Slice of Life, Supernatural",Sentai Filmworks,23,2007-10,Tv,77,AniList
Mushoku Tensei: Jobless Reincarnation Cour 2,"Adventure, Drama, Ecchi, Fantasy",Studio Bind,12,2021-10,Tv,85,AniList
Hell’s Paradise,"Action, Adventure, Mystery, Supernatural",MAPPA,13,2023-04,Tv,80,AniList
Oshi No Ko,"Drama, Mystery, Psychological, Supernatural",Doga Kobo,11,2023-04,Tv,84,AniList
Princess Mononoke,"Action, Adventure, Drama, Fantasy",Studio Ghibli,1,1997-07,Movie,85,AniList
Gintama,"Action, Comedy, Drama, Sci-Fi",Sunrise,201,2006-04,Tv,85,AniList
JoJo's Bizarre Adventure: Golden Wind,"Action, Adventure, Drama, Mystery, Supernatural",David Production,39,2018-10,Tv,84,AniList
The Seven Deadly Sins: Revival of the Commandments,"Action, Adventure, Comedy, Ecchi, Fantasy, Supernatural",A-1 Pictures,24,2018-01,Tv,73,AniList
WONDER EGG PRIORITY,"Action, Drama, Fantasy, Mystery, Psychological, Sci-Fi, Thriller",CloverWorks,12,2021-01,Tv,74,AniList
BLUE LOCK,"Action, Drama, Sports",8-bit,24,2022-10,Tv,80,AniList
Fire Force Season 2,"Action, Drama, Sci-Fi, Supernatural",David Production,24,2020-07,Tv,78,AniList
Beyond the Boundary,"Action, Drama, Fantasy, Slice of Life, Supernatural",Kyoto Animation,12,2013-10,Tv,74,AniList
Sword Art Online: Alicization,"Action, Adventure, Fantasy",A-1 Pictures,24,2018-10,Tv,75,AniList
Maid-Sama!,"Comedy, Drama, Romance",J.C.STAFF,26,2010-04,Tv,77,AniList
DAN DA DAN,"Action, Comedy, Drama, Romance, Sci-Fi, Supernatural",Science SARU,12,2024-10,Tv,84,AniList
86 EIGHTY-SIX,"Action, Drama, Mecha, Sci-Fi",A-1 Pictures,11,2021-04,Tv,82,AniList
Terror in Resonance,"Drama, Mystery, Psychological, Thriller",MAPPA,11,2014-07,Tv,78,AniList
JoJo's Bizarre Adventure: Stardust Crusaders - Battle in Egypt,"Action, Adventure, Drama, Supernatural",David Production,24,2015-01,Tv,82,AniList
High School of the Dead,"Action, Drama, Ecchi, Horror, Romance, Supernatural",MADHOUSE,12,2010-07,Tv,66,AniList
Re:ZERO -Starting Life in Another World- Season 2 Part 2,"Action, Adventure, Drama, Fantasy, Psychological, Romance, Thriller",WHITE FOX,12,2021-01,Tv,84,AniList
The Pet Girl of Sakurasou,"Comedy, Drama, Romance, Slice of Life",J.C.STAFF,24,2012-10,Tv,78,AniList
Kuroko's Basketball,"Comedy, Sports",Production I.G,25,2012-04,Tv,78,AniList
Kaguya-sama: Love is War -Ultra Romantic-,"Comedy, Psychological, Romance, Slice of Life",Aniplex,13,2022-04,Tv,89,AniList
K-ON!,"Comedy, Music, Slice of Life",Kyoto Animation,13,2009-04,Tv,78,AniList
My Neighbor Totoro,"Adventure, Fantasy, Slice of Life, Supernatural",Studio Ghibli,1,1988-04,Movie,80,AniList
Samurai Champloo,"Action, Adventure, Comedy",Manglobe,26,2004-05,Tv,84,AniList
My Teen Romantic Comedy SNAFU TOO!,"Comedy, Drama, Romance, Slice of Life",feel.,13,2015-04,Tv,81,AniList
Elfen Lied,"Action, Drama, Ecchi, Horror, Psychological, Romance, Supernatural",VAP,13,2004-07,Tv,68,AniList
Nisekoi,"Comedy, Romance, Slice of Life",Aniplex,20,2014-01,Tv,73,AniList
Food Wars! The Second Plate,"Comedy, Ecchi",J.C.STAFF,13,2016-07,Tv,79,AniList
"DON'T TOY WITH ME, MISS NAGATORO","Comedy, Romance, Slice of Life",Telecom Animation Film,12,2021-04,Tv,69,AniList
Fate/stay night: Unlimited Blade Works,"Action, Fantasy, Supernatural",ufotable,13,2014-10,Tv,80,AniList
The Eminence in Shadow,"Action, Comedy, Fantasy",Nexus,20,2022-10,Tv,81,AniList
Fullmetal Alchemist,"Action, Adventure, Drama, Fantasy",bones,51,2003-10,Tv,79,AniList
Overlord II,"Action, Adventure, Fantasy",MADHOUSE,13,2018-01,Tv,75,AniList
BEASTARS,"Drama, Mystery, Psychological, Romance, Slice of Life",Orange,12,2019-10,Tv,77,AniList
Black Butler,"Action, Comedy, Fantasy, Mystery, Supernatural",Aniplex,24,2008-10,Tv,72,AniList
My Little Monster,"Comedy, Romance, Slice of Life",TV Tokyo,13,2012-10,Tv,72,AniList
Golden Time,"Drama, Romance",J.C.STAFF,24,2013-10,Tv,75,AniList
The Irregular at Magic High School,"Action, Romance, Sci-Fi, Supernatural",MADHOUSE,26,2014-04,Tv,70,AniList
The Misfit of Demon King Academy: History’s Strongest Demon King Reincarnates and Goes to School with His Descendants,"Action, Comedy, Fantasy",SILVER LINK.,13,2020-07,Tv,72,AniList
Plastic Memories,"Drama, Romance, Sci-Fi, Slice of Life",Doga Kobo,13,2015-04,Tv,77,AniList
Saga of Tanya the Evil,"Action, Fantasy",NUT,12,2017-01,Tv,77,AniList
HAIKYU‼ TO THE TOP Part 2,"Comedy, Drama, Sports",Production I.G,12,2020-10,Tv,85,AniList
Ouran High School Host Club,"Comedy, Drama, Romance, Slice of Life",bones,26,2006-04,Tv,80,AniList
Dragon Ball Z,"Action, Adventure, Comedy, Fantasy, Supernatural",Toei Animation,291,1989-04,Tv,80,AniList
ReLIFE,"Comedy, Drama, Romance, Slice of Life",TMS Entertainment,13,2016-06,Ona,78,AniList
Deadman Wonderland,"Action, Horror, Sci-Fi",Manglobe,12,2011-04,Tv,67,AniList
The Garden of Words,"Drama, Psychological, Romance, Slice of Life",CoMix Wave,1,2013-05,Movie,75,AniList
That Time I Got Reincarnated as a Slime Season 2 Part 2,"Action, Adventure, Comedy, Fantasy",8-bit,12,2021-07,Tv,82,AniList
5 Centimeters per Second,"Drama, Romance, Slice of Life",CoMix Wave,3,2007-02,Movie,72,AniList
Fate/Zero Season 2,"Action, Drama, Fantasy, Supernatural",Aniplex,12,2012-04,Tv,84,AniList
Rascal Does Not Dream of a Dreaming Girl,"Drama, Psychological, Romance, Supernatural",CloverWorks,1,2019-06,Movie,84,AniList
MASHLE: MAGIC AND MUSCLES,"Action, Comedy, Fantasy",Aniplex,12,2023-04,Tv,76,AniList
Kakegurui xx,"Drama, Mystery, Psychological",MAPPA,12,2019-01,Tv,70,AniList
Guilty Crown,"Action, Drama, Mecha, Psychological, Romance, Sci-Fi",Production I.G,22,2011-10,Tv,69,AniList
The Ancient Magus' Bride,"Drama, Fantasy, Romance, Slice of Life, Supernatural",WIT STUDIO,24,2017-10,Tv,78,AniList
Bungo Stray Dogs 2,"Action, Comedy, Mystery, Supernatural",bones,12,2016-10,Tv,81,AniList
Date A Live,"Action, Comedy, Ecchi, Fantasy, Mecha, Romance, Sci-Fi",Funimation,12,2013-04,Tv,68,AniList
Neon Genesis Evangelion: The End of Evangelion,"Action, Drama, Mecha, Psychological, Sci-Fi",Gainax,1,1997-07,Movie,85,AniList
Blue Spring Ride,"Drama, Romance, Slice of Life",Production I.G,12,2014-07,Tv,75,AniList
Is It Wrong to Try to Pick Up Girls in a Dungeon? II,"Action, Adventure, Comedy, Fantasy, Romance",J.C.STAFF,12,2019-07,Tv,71,AniList
Mob Psycho 100 III,"Action, Comedy, Drama, Psychological, Slice of Life, Supernatural",bones,12,2022-10,Tv,87,AniList
Prison School,"Comedy, Ecchi",J.C.STAFF,12,2015-07,Tv,73,AniList
Overlord III,"Action, Adventure, Fantasy",MADHOUSE,13,2018-07,Tv,77,AniList
Black Lagoon,"Action, Adventure, Drama, Thriller",MADHOUSE,12,2006-04,Tv,78,AniList
Nichijou - My Ordinary Life,"Comedy, Slice of Life",Kyoto Animation,26,2011-04,Tv,83,AniList
Log Horizon,"Action, Adventure, Fantasy",Satelight,25,2013-10,Tv,76,AniList
SK8 the Infinity,"Action, Drama, Sports",bones,12,2021-01,Tv,79,AniList
Toilet-bound Hanako-kun,"Action, Comedy, Drama, Mystery, Supernatural",Lerche,12,2020-01,Tv,77,AniList
My Hero Academia Season 6,"Action, Adventure",bones,25,2022-10,Tv,82,AniList
KONOSUBA -God's blessing on this wonderful world!- Legend of Crimson,"Action, Adventure, Comedy, Ecchi, Fantasy, Supernatural",J.C.STAFF,1,2019-08,Movie,83,AniList
